Characteristic ,Total with Earnings,"$1 to $2,499 or loss","$2,500 to 4,999","$5,000 to $7,499","$7,500 to $9,999","$10,000 to $12,499","$12,500 to $14,999","$15,000 to $17,499","$17,500 to $19,999","$20,000 to $22,499","$22,500 to $24,999","$25,000 to $27,499","$27,500 to $29,999","$30,000 to $32,499","$32,500 to $34,999","$35,000 to $37,499","$37,500 to $39,999","$40,000 to $42,499","$42,500 to $44,999","$45,000 to $47,499","$47,500 to $49,999","$50,000 to $52,499","$53,500 to $54,999","$55,000 to $57,499","$57,500 to $59,999","$60,000 to $62,499","$62,500 to $64,999","$65,000 to $67,499","$67,500 to $69,999","$70,000 to $72,499","$72,500 to $74,999","$75,000 to $77,499","$77,500 to $79,999 ","$80,000 to $82,499","$82,500 to $84,999","$85,000 to $87,499","$87,500 to $89,999","$90,000 to $92,499","$92,500 to $94,999","$95,000 to $97,499","$97,500 to $99,999","$100,000 and over",Median Earnings (Value Dol.),Median Earnings (Standard Error Dol.),Mean Earnings (Value Dol.),Mean Earnings (Standard Error Dol.), Gini Ratio , Gini Ratio Standard Error
........All other occupations,92,0,0,4,2,6,0,2,0,0,10,2,3,6,0,7,1,4,0,0,9,4,0,0,0,0,7,17,1,0,0,0,0,6,0,0,0,0,0,0,0,0,"41,096","8,937","42,543","3,954",0.300,0.0383
"Production, transportation, and material moving occupations","3,543",167,151,107,100,193,61,245,129,297,207,329,108,298,64,251,62,191,14,62,32,91,30,69,6,44,5,39,13,46,6,30,1,19,14,11,1,12,0,6,0,32,"25,865",363,"29,224",700,0.382,0.0110
....Production occupations,"1,753",59,53,39,37,53,40,94,56,143,124,156,44,195,46,152,42,93,7,38,22,57,24,41,3,21,4,20,5,31,0,10,1,8,4,2,1,10,0,0,0,20,"28,807","1,744","31,220",968,0.337,0.0139
........Supervisors,117,5,0,0,0,1,0,0,0,18,0,7,2,7,3,12,11,3,0,10,0,6,1,4,0,4,0,0,0,9,0,0,0,6,1,0,1,0,0,0,0,7,"38,327","3,044","49,290","8,052",0.367,0.0765
........All other occupations,"1,637",54,53,39,37,52,40,94,56,126,124,149,42,187,44,140,31,90,7,28,22,51,23,37,3,17,4,20,5,22,0,10,1,2,3,2,0,10,0,0,0,13,"27,425","1,324","29,934",843,0.327,0.0116
....Transportation and material moving occupations,"1,790",108,99,67,63,141,21,151,73,154,83,173,64,103,18,100,20,98,7,24,10,34,6,28,2,23,1,20,7,16,6,20,0,10,10,9,1,2,0,6,0,12,"23,033",878,"27,268","1,093",0.423,0.0183
........Supervisors,22,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
........Aircraft pilots and flight engineers,10,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
........Air traffic controllers and airfield operation specialists,1,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
"........Auto, bus, truck, ambulance, taxi drivers",522,21,15,9,26,46,7,44,23,58,28,35,25,18,10,29,8,36,0,6,2,17,0,6,2,15,1,3,0,6,0,4,0,5,0,4,0,2,0,6,0,3,"23,510","1,683","30,108","2,678",0.417,0.0434
........Rail and subway workers,6,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
........Ship captains and engineers,0,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
........All other transportation occupations,"1,229",87,82,57,37,95,14,108,47,91,55,136,39,83,8,71,13,55,7,18,7,17,6,22,1,8,0,17,7,7,6,8,0,5,10,3,0,0,0,0,0,6,"22,442",938,"25,031","1,054",0.413,0.0165
Armed Forces,77,2,3,6,0,0,0,0,0,2,0,2,10,6,6,0,0,3,0,3,0,5,6,0,0,9,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,6,"40,371","11,002","43,062","4,569",0.342,0.0459
